internal_location,md5,md5short,ksize,moltype,num,scaled,n_hashes,with_abundance,name,filename
signatures/a53e29b9e828964eceab8d4ff7fb468d.sig.gz,a53e29b9e828964eceab8d4ff7fb468d,a53e29b9,31,DNA,0,1000,6577,True,"GCF_900145225.1 Pseudomonas aeruginosa, 181",/dev/fd/63
signatures/7ac461730cbe4c46cf1b1fb3043a0eed.sig.gz,7ac461730cbe4c46cf1b1fb3043a0eed,7ac46173,31,DNA,0,1000,1319,True,"GCA_013288185.1 Gammaproteobacteria bacterium, ASM1328818v1",/dev/fd/63
signatures/17254b240f2747e49e20d24fefb49901.sig.gz,17254b240f2747e49e20d24fefb49901,17254b24,31,DNA,0,1000,4721,True,"GCA_002697445.1 Rhodothermaceae bacterium, ASM269744v1",/dev/fd/63
signatures/91e4ed800f5ed9e6407de1453f8451a5.sig.gz,91e4ed800f5ed9e6407de1453f8451a5,91e4ed80,31,DNA,0,1000,2484,True,"GCF_003039875.1 Staphylococcus capitis strain=SNUC 5871, ASM303987v1",/dev/fd/63
signatures/fd6eb5f4997f6b59e735ba25afcc871c.sig.gz,fd6eb5f4997f6b59e735ba25afcc871c,fd6eb5f4,31,DNA,0,1000,4907,True,"GCF_016500875.1 Citrobacter koseri strain=CB00182, ASM1650087v1",/dev/fd/63
signatures/13b07f22c955017d3f825a0da4dbdcc4.sig.gz,13b07f22c955017d3f825a0da4dbdcc4,13b07f22,31,DNA,0,1000,5078,True,"GCF_002520405.1 Escherichia coli strain=MOD1-EC6862, ASM252040v1",/dev/fd/63
signatures/e1b9245eb149623e89a4d4b36875ba36.sig.gz,e1b9245eb149623e89a4d4b36875ba36,e1b9245e,31,DNA,0,1000,4630,True,"GCA_011800315.1 Enterobacteriaceae bacterium EKM102V strain=EKM102V, ASM1180031v1",/dev/fd/63
signatures/0b9b9231e87ac39fe0e66c426bf1a27a.sig.gz,0b9b9231e87ac39fe0e66c426bf1a27a,0b9b9231,31,DNA,0,1000,2856,True,"GCF_000519425.1 Enterococcus faecalis EnGen0400 strain=EnGen0400, Ente_faec_B284_V1",/dev/fd/63
signatures/86cce78851d781335f977a36c33250f4.sig.gz,86cce78851d781335f977a36c33250f4,86cce788,31,DNA,0,1000,1846,True,"GCF_002849915.1 Lactobacillus helveticus strain=FAM8627, ASM284991v1",/dev/fd/63
signatures/6c2350a236e8d7c25ed6b85d8ded2418.sig.gz,6c2350a236e8d7c25ed6b85d8ded2418,6c2350a2,31,DNA,0,1000,4929,True,"GCF_002260995.1 Salmonella enterica subsp. enterica serovar Typhimurium strain=STy015, ASM226099v1",/dev/fd/63
signatures/7ffc476a2b2bb0ff69689e1ee6da5fdf.sig.gz,7ffc476a2b2bb0ff69689e1ee6da5fdf,7ffc476a,31,DNA,0,1000,1415,True,"GCF_000830905.1 Dehalococcoides mccartyi CG4 strain=CG4, ASM83090v1",/dev/fd/63
signatures/76880ed59b704cf5ffa318c8669ff02e.sig.gz,76880ed59b704cf5ffa318c8669ff02e,76880ed5,31,DNA,0,1000,5089,True,"GCF_009393075.1 Escherichia coli strain=H058p, ASM939307v1",/dev/fd/63
signatures/b883c758c486314f20440026e007ac37.sig.gz,b883c758c486314f20440026e007ac37,b883c758,31,DNA,0,1000,3836,True,"GCF_000591835.1 Acinetobacter baumannii 44327_1 strain=44327_1, ASM59183v1",/dev/fd/63
