internal_location,md5,md5short,ksize,moltype,num,scaled,n_hashes,with_abundance,name,filename
signatures/47506f875ac834f5afc3d183c7715e78.sig.gz,47506f875ac834f5afc3d183c7715e78,47506f87,31,DNA,0,1000,5109,True,"GCF_011032645.1 Escherichia coli strain=CAP10, ASM1103264v1",/dev/fd/63
signatures/b981ba8c460853ebc7d23623a7c62ee3.sig.gz,b981ba8c460853ebc7d23623a7c62ee3,b981ba8c,31,DNA,0,1000,3794,True,"GCA_903852455.1 uncultured Opitutae bacterium, freshwater MAG --- Umea3p4_bin-0344",/dev/fd/63
signatures/365233bef94d7180b159e0497b551099.sig.gz,365233bef94d7180b159e0497b551099,365233be,31,DNA,0,1000,1645,True,"GCA_002349735.1 Catabacter sp. UBA2915, ASM234973v1",/dev/fd/63
signatures/3e41c3675278472bd1296471648dbcc7.sig.gz,3e41c3675278472bd1296471648dbcc7,3e41c367,31,DNA,0,1000,5368,True,"GCF_010731675.1 Mycobacterium marseillense strain=JCM 17324, ASM1073167v1",/dev/fd/63
signatures/bef30dd9b7d472917bace1d44148007d.sig.gz,bef30dd9b7d472917bace1d44148007d,bef30dd9,31,DNA,0,1000,5928,True,"GCF_000785395.1 Pseudomonas lactis strain=PA4C2, PseuFluoPA4C2_1.0",/dev/fd/63
signatures/3dfa9065cf71ef0e7b533ba8b64a6631.sig.gz,3dfa9065cf71ef0e7b533ba8b64a6631,3dfa9065,31,DNA,0,1000,3229,True,"GCF_002998435.1 Bacteroides zoogleoformans strain=ATCC 33285, ASM299843v1",/dev/fd/63
signatures/73cae67063cab0f4902468b9e487fa5c.sig.gz,73cae67063cab0f4902468b9e487fa5c,73cae670,31,DNA,0,1000,5523,True,"GCF_003955375.1 Klebsiella pneumoniae subsp. pneumoniae strain=R1014, ASM395537v1",/dev/fd/63
signatures/711841b8d59e96a9a579ca16ce3bc690.sig.gz,711841b8d59e96a9a579ca16ce3bc690,711841b8,31,DNA,0,1000,4000,True,"GCF_002808485.1 Vibrio cholerae strain=330013_C1, ASM280848v1",/dev/fd/63
signatures/3c13b4b19a7cac3a37cd34449d6874a9.sig.gz,3c13b4b19a7cac3a37cd34449d6874a9,3c13b4b1,31,DNA,0,1000,1617,True,"GCA_017851755.1 Flavobacteriaceae bacterium, ASM1785175v1",/dev/fd/63
signatures/86f9096ca629c836b4d1a8e028f6f199.sig.gz,86f9096ca629c836b4d1a8e028f6f199,86f9096c,31,DNA,0,1000,2975,True,"GCA_002403465.1 Rhizobiales bacterium UBA4762, ASM240346v1",/dev/fd/63
signatures/6f7a6ab85bac72de7b1036b8b016032d.sig.gz,6f7a6ab85bac72de7b1036b8b016032d,6f7a6ab8,31,DNA,0,1000,4496,True,"GCF_003253795.1 Hafnia alvei strain=CBA7135, ASM325379v1",/dev/fd/63
signatures/ed0b9e77900723844e8d6e24b5fe6dc5.sig.gz,ed0b9e77900723844e8d6e24b5fe6dc5,ed0b9e77,31,DNA,0,1000,6720,True,"GCA_018815625.1 Gammaproteobacteria bacterium, ASM1881562v1",/dev/fd/63
signatures/c93eb445abdf8ec653dfff62a8b4001f.sig.gz,c93eb445abdf8ec653dfff62a8b4001f,c93eb445,31,DNA,0,1000,2467,True,"GCF_001071395.1 Staphylococcus epidermidis strain=590_SEPI, ASM107139v1",/dev/fd/63
