internal_location,md5,md5short,ksize,moltype,num,scaled,n_hashes,with_abundance,name,filename
signatures/031df194197a3cad1f9b85b5420b0588.sig.gz,031df194197a3cad1f9b85b5420b0588,031df194,31,DNA,0,1000,5398,True,"GCF_000417365.1 Klebsiella pneumoniae 160_1080 strain=160_1080, gkp50v01",/dev/fd/63
signatures/f53d667a9f0bcc708ec98511116f2bfa.sig.gz,f53d667a9f0bcc708ec98511116f2bfa,f53d667a,31,DNA,0,1000,1567,True,"GCF_000275125.1 Helicobacter pylori Hp H-28 strain=Hp H-28, ASM27512v1",/dev/fd/63
signatures/3641e36818207d828834458db37864a6.sig.gz,3641e36818207d828834458db37864a6,3641e368,31,DNA,0,1000,2005,True,"GCF_003855655.1 Lactobacillus fermentum strain=LMT2-75, ASM385565v1",/dev/fd/63
signatures/a7e7ee60c5d094068c8edde974c0e814.sig.gz,a7e7ee60c5d094068c8edde974c0e814,a7e7ee60,31,DNA,0,1000,4326,True,"GCF_000651595.1 Mycobacterium tuberculosis TKK_03_0047 strain=TKK_03_0047, Myco_tube_TKK_03_0047_V1",/dev/fd/63
signatures/867795c02513515cd1743a64bcb62e04.sig.gz,867795c02513515cd1743a64bcb62e04,867795c0,31,DNA,0,1000,1918,True,"GCF_003289525.1 Campylobacter hyointestinalis subsp. lawsonii strain=RM9426, ASM328952v1",/dev/fd/63
signatures/969db8475b6995afe683bea036047c2c.sig.gz,969db8475b6995afe683bea036047c2c,969db847,31,DNA,0,1000,3920,True,"GCF_000804515.1 Edwardsiella tarda strain=ET883, ASM80451v1",/dev/fd/63
signatures/46f1cd5a65b9fab1f1158204e2a5758d.sig.gz,46f1cd5a65b9fab1f1158204e2a5758d,46f1cd5a,31,DNA,0,1000,3877,True,"GCF_005786525.1 Acinetobacter baumannii strain=AB185, ASM578652v1",/dev/fd/63
signatures/fa15cbde877b8a5dc033db5d3e7cd49c.sig.gz,fa15cbde877b8a5dc033db5d3e7cd49c,fa15cbde,31,DNA,0,1000,2832,True,"GCF_900049415.1 Staphylococcus aureus strain=st2282, 7480_8#31",/dev/fd/63
signatures/fedf26796dcfa137814130f2c1f88453.sig.gz,fedf26796dcfa137814130f2c1f88453,fedf2679,31,DNA,0,1000,2130,True,"GCF_001159265.1 Streptococcus pneumoniae strain=0155, 5737_6#12",/dev/fd/63
signatures/7c6f821882bfaac365b30e9beb6a7eee.sig.gz,7c6f821882bfaac365b30e9beb6a7eee,7c6f8218,31,DNA,0,1000,4992,True,"GCF_014982605.1 Escherichia coli strain=HD8, ASM1498260v1",/dev/fd/63
