internal_location,md5,md5short,ksize,moltype,num,scaled,n_hashes,with_abundance,name,filename
signatures/b0162f4c9b54b1b4537d34ab53f016fb.sig.gz,b0162f4c9b54b1b4537d34ab53f016fb,b0162f4c,31,DNA,0,1000,4833,True,"GCF_017893505.1 Salmonella enterica subsp. enterica serovar Typhimurium strain=ER3625, ASM1789350v1",/dev/fd/63
signatures/248569fc4079da1939770bc4348b3666.sig.gz,248569fc4079da1939770bc4348b3666,248569fc,31,DNA,0,1000,1287,True,"GCA_009698675.1 Actinobacteria bacterium, ASM969867v1",/dev/fd/63
signatures/12ea057c0cf584c641b2b7f21a4c3acd.sig.gz,12ea057c0cf584c641b2b7f21a4c3acd,12ea057c,31,DNA,0,1000,2150,True,"GCA_903867715.1 uncultured Chlorobiaceae bacterium, freshwater MAG --- MJ110712B_bin-081",/dev/fd/63
signatures/cfe0344922e415ba0055d4d277ab9ec7.sig.gz,cfe0344922e415ba0055d4d277ab9ec7,cfe03449,31,DNA,0,1000,3973,True,"GCF_016094015.1 Clostridioides difficile strain=GV587, ASM1609401v1",/dev/fd/63
signatures/501eca7b35fc81f5dc7fac91f4262619.sig.gz,501eca7b35fc81f5dc7fac91f4262619,501eca7b,31,DNA,0,1000,5077,True,"GCF_002520495.1 Escherichia coli strain=MOD1-EC6856, ASM252049v1",/dev/fd/63
signatures/0ab97c57d22519f0968bf50d4ad919ac.sig.gz,0ab97c57d22519f0968bf50d4ad919ac,0ab97c57,31,DNA,0,1000,5620,True,"GCF_000291235.1 Bacillus cereus MSX-A12 strain=MSX-A12, Baci_cere_MSX-A12_V1",/dev/fd/63
signatures/4db9eadba728cac8fc4f9a8e0fe30c08.sig.gz,4db9eadba728cac8fc4f9a8e0fe30c08,4db9eadb,31,DNA,0,1000,3131,True,"GCF_017115445.1 Listeria monocytogenes strain=Marseille-P9661, ASM1711544v1",/dev/fd/63
signatures/71854182d10aeccea879600c0ce1da80.sig.gz,71854182d10aeccea879600c0ce1da80,71854182,31,DNA,0,1000,1900,True,"GCF_017367705.1 Lactobacillus delbrueckii subsp. lactis strain=12104, ASM1736770v1",/dev/fd/63
signatures/d0a7ddbc29edd2ac3fc0072fb1991b98.sig.gz,d0a7ddbc29edd2ac3fc0072fb1991b98,d0a7ddbc,31,DNA,0,1000,6501,True,"GCF_007680395.1 Bacillus thuringiensis serovar israelensis strain=DE0030, ASM768039v1",/dev/fd/63
signatures/c2f1e88d678be5c6f27e5880218d2637.sig.gz,c2f1e88d678be5c6f27e5880218d2637,c2f1e88d,31,DNA,0,1000,2603,True,"GCF_009696615.1 Actinomycetaceae bacterium WB03_NA08 strain=WB03_NA08, ASM969661v1",/dev/fd/63
signatures/463bc60226f2e0090f5c2c021295383d.sig.gz,463bc60226f2e0090f5c2c021295383d,463bc602,31,DNA,0,1000,5706,True,"GCF_000981805.1 Citrobacter amalonaticus Y19 strain=Y19, ASM98180v1",/dev/fd/63
signatures/82e8d49fa060d81a8b4aa2aceb31e4e9.sig.gz,82e8d49fa060d81a8b4aa2aceb31e4e9,82e8d49f,31,DNA,0,1000,1383,True,"GCA_905612305.1 uncultured Flavobacteriales bacterium, RIS-SAG-09",/dev/fd/63
signatures/bffcb617d74127462aedbeef847b9de6.sig.gz,bffcb617d74127462aedbeef847b9de6,bffcb617,31,DNA,0,1000,1579,True,"GCF_003637295.1 Helicobacter pylori strain=HP13021, ASM363729v1",/dev/fd/63
signatures/2d45c65095f460f4ab16cbabf5f2e3ac.sig.gz,2d45c65095f460f4ab16cbabf5f2e3ac,2d45c650,31,DNA,0,1000,5667,True,"GCA_902704845.1 Klebsiella pneumoniae strain=Kpngiani7132515, Kpngiani7132515",/dev/fd/63
signatures/4a18ff3c89931dfd1da573a89fa797e5.sig.gz,4a18ff3c89931dfd1da573a89fa797e5,4a18ff3c,31,DNA,0,1000,4035,True,"GCF_000452045.2 Clostridioides difficile P78 strain=P78, ASM45204v2",/dev/fd/63
signatures/98636d3e78cdce56f1c4bca4711641eb.sig.gz,98636d3e78cdce56f1c4bca4711641eb,98636d3e,31,DNA,0,1000,2511,True,"GCF_017299595.1 Bifidobacterium longum subsp. infantis strain=JCM 7009, ASM1729959v1",/dev/fd/63
signatures/2f224420c3f641dbbfe7bb0a3382a593.sig.gz,2f224420c3f641dbbfe7bb0a3382a593,2f224420,31,DNA,0,1000,5083,True,"GCF_004796795.1 Escherichia coli strain=2015-1-130C, ASM479679v1",/dev/fd/63
signatures/d29aeb1fc6331224bdee814c17a610c9.sig.gz,d29aeb1fc6331224bdee814c17a610c9,d29aeb1f,31,DNA,0,1000,2708,True,"GCF_003813395.1 Staphylococcus aureus strain=G1362, ASM381339v1",/dev/fd/63
signatures/950669f61fa919b1898e78bed5805999.sig.gz,950669f61fa919b1898e78bed5805999,950669f6,31,DNA,0,1000,6225,True,"GCF_003011895.2 Massilia glaciei strain=B448-2, ASM301189v2",/dev/fd/63
signatures/1fb1f18d2a273b774a11e12dda6ae6aa.sig.gz,1fb1f18d2a273b774a11e12dda6ae6aa,1fb1f18d,31,DNA,0,1000,4941,True,"GCF_014121815.1 Salmonella enterica subsp. enterica serovar Kentucky strain=BCMOA-C2/C3-TMB-19, ASM1412181v1",/dev/fd/63
signatures/e46cb20dc9208c024f38a33b0f2399f3.sig.gz,e46cb20dc9208c024f38a33b0f2399f3,e46cb20d,31,DNA,0,1000,5223,True,"GCF_000273155.1 Bacteroides fragilis CL07T12C05 strain=CL07T12C05, Bact_frag_CL07T12C05_V1",/dev/fd/63
signatures/be2d8f3402948c88f66f64e8e4df0ec4.sig.gz,be2d8f3402948c88f66f64e8e4df0ec4,be2d8f34,31,DNA,0,1000,5134,True,"GCA_001078075.1 bacteria symbiont BFo1 of Frankliniella occidentalis strain=BFo1, ASM107807v1",/dev/fd/63
signatures/15ec7dede5acca17521c3abd9e0b7752.sig.gz,15ec7dede5acca17521c3abd9e0b7752,15ec7ded,31,DNA,0,1000,5924,True,"GCF_013317445.1 Agrobacterium vitis strain=CG678, ASM1331744v1",/dev/fd/63
signatures/fca420e3f759666e141f8b73aa7756d4.sig.gz,fca420e3f759666e141f8b73aa7756d4,fca420e3,31,DNA,0,1000,1089,True,"GCF_000508025.1 Chlamydia pecorum IPTaLE strain=IPTaLE, CpecIPTaLE1.0",/dev/fd/63
signatures/b1bad8b40cb2900f6bb975389cb5bd60.sig.gz,b1bad8b40cb2900f6bb975389cb5bd60,b1bad8b4,31,DNA,0,1000,1232,True,"GCA_016931275.1 Parachlamydiales bacterium, ASM1693127v1",/dev/fd/63
signatures/ec41699ecaea770a20582ee270119e35.sig.gz,ec41699ecaea770a20582ee270119e35,ec41699e,31,DNA,0,1000,2442,True,"GCF_004334515.1 Bifidobacterium longum subsp. longum strain=MCC10009, ASM433451v1",/dev/fd/63
signatures/a1ef129703bde76957ff5ccb24a695bf.sig.gz,a1ef129703bde76957ff5ccb24a695bf,a1ef1297,31,DNA,0,1000,3030,True,"GCF_002276805.1 Acetobacter syzygii strain=KR-2, ASM227680v1",/dev/fd/63
